bundesland;bundesland_key;beruf;beruf_key;kammer_name;kammer_website;zustaendige_stelle;zustaendige_stelle_hinweis;direct_url_good_standing;antragsverfahren;erforderliche_dokumente;kosten;bearbeitungszeit;kontakt_email;kontakt_telefon;kontakt_adresse;fuehrungszeugnis_o_erforderlich;fuehrungszeugnis_o_empfaenger;besonderheiten;quellen;daten_vollstaendig
Nordrhein-Westfalen - Westfalen-Lippe;NW_WL;Arzt;arzt;Ärztekammer Westfalen-Lippe;https://www.aekwl.de/;Bezirksregierung Arnsberg / Detmold / Münster;Die Ärztekammer stellt nur eine Vorabbescheinigung aus. Das eigentliche Certificate wird von der Bezirksregierung ausgestellt.;https://www.aekwl.de/fuer-aerzte/mitgliedschaft/unbedenklichkeitsbescheinigung/;Die Unbedenklichkeitsbescheinigung (Certificate of Good Standing) wird von der zuständigen Bezirksregierung ausgestellt. Zuvor muss bei der Ärztekammer eine Bescheinigung zur Vorlage bei der Bezirksregierung beantragt werden. Dieser Antrag kann schriftlich per Post, E-Mail oder telefonisch bei der Ärztekammer gestellt werden.;Für den Antrag bei der Ärztekammer: Keine expliziten Dokumente genannt. Für den Antrag bei der Bezirksregierung: Bescheinigung der Ärztekammer (nicht älter als 1 Monat).;20 EUR für die Bescheinigung der Ärztekammer.;ca. eine Woche für die Bescheinigung der Ärztekammer.;"pritschow@aekwl.de; fazel@aekwl.de; niester@aekwl.de; rumpf@aekwl.de; anja.schroeder@aekwl.de";"0251 929-2515; 0251 929-2516; 0251 929-2503; 0251 929-2504; 0251 929-2802";Ärztekammer Westfalen-Lippe, Postfach 40 67, 48022 Münster;nicht angegeben;Ärztekammer Westfalen-Lippe;Das eigentliche 'Certificate of Good Standing' wird von der Bezirksregierung (Arnsberg, Detmold oder Münster) ausgestellt, nicht von der Ärztekammer. Die Ärztekammer stellt nur eine Vorabbescheinigung aus, die für den Antrag bei der Bezirksregierung benötigt wird.;https://www.aekwl.de/fuer-aerzte/mitgliedschaft/unbedenklichkeitsbescheinigung/;True
Rheinland-Pfalz;RP;Arzt;arzt;Landesärztekammer Rheinland-Pfalz;http://www.laek-rlp.de/;Landesamt für Soziales, Jugend und Versorgung;Die Ärztekammer stellt nur eine Bescheinigung aus, dass keine berufsrechtlichen Bedenken bestehen. Das eigentliche Certificate kommt vom Landesamt.;https://www.aerztekammer-mainz.de/aerzte/meldewesen/unbedenklichkeitsbescheinigung;Ein formloser Antrag per E-Mail an die Bezirksärztekammer Rheinhessen (meldewesen@aerztekammer-mainz.de) ist erforderlich, um eine Bescheinigung zur Vorlage beim Landesamt für Soziales, Jugend und Versorgung zu erhalten. Dieses stellt das eigentliche Certificate of Good Standing aus.;;nicht angegeben;ca. 5 bis 10 Tage für die Bescheinigung der Bezirksärztekammer;meldewesen@aerztekammer-mainz.de;06131 - 38 69 - 41;Bezirksärztekammer Rheinhessen, Eltzer Hof, 1. Obergeschoss, Mittlere Bleiche 40, 55116 Mainz;nicht angegeben;Landesärztekammer Rheinland-Pfalz;Das eigentliche 'Certificate of Good Standing' wird vom Landesamt für Soziales, Jugend und Versorgung ausgestellt. Die Ärztekammer stellt lediglich eine Bescheinigung aus, dass keine berufsrechtlichen Bedenken bestehen. Bei Anmeldung in Rheinland-Pfalz wird man automatisch Mitglied in der Landesärztekammer und der zuständigen Bezirksärztekammer.;http://www.laek-rlp.de/ | https://www.aerztekammer-mainz.de/aerzte/meldewesen/unbedenklichkeitsbescheinigung | https://www.aerztekammer-mainz.de/aerzte/meldewesen/allgemein | http://www.laek-rlp.de/ueberuns/bezirksaerztekammern/index.html;True
Saarland;SL;Arzt;arzt;Ärztekammer des Saarlandes;https://www.aerztekammer-saarland.de/;Ärztekammer des Saarlandes;;nicht gefunden;nicht angegeben;;nicht angegeben;nicht angegeben;info-aeks@aeksaar.de;+49 681 4003-0;Ärztekammer des Saarlandes, Faktoreistraße 4, 66111 Saarbrücken;nicht angegeben;Ärztekammer des Saarlandes;keine;https://www.aerztekammer-saarland.de/ | https://www.aerztekammer-saarland.de/files/194F563739D/250210%20VerwGebO%20konsolidiert.pdf;False
Sachsen;SN;Arzt;arzt;Sächsische Landesärztekammer;https://www.slaek.de/;Sächsische Landesärztekammer;;https://www.slaek.de/de/arzt/arzt-und-recht/07-berufsrecht/unbedenklichkeitsbescheinigung.php;Der Antrag kann per Post, per Fax oder per E-Mail (eingescannt) gestellt werden. Ein Antragsformular steht zum Download bereit.;Antragsformular;30 EUR;nicht angegeben;ra@slaek.de;0351 8267-427;Sächsische Landesärztekammer, Schützenhöhe 16, 01099 Dresden;nicht angegeben;Sächsische Landesärztekammer;Die Bescheinigung darf bei Vorlage nicht älter als drei Monate sein. Für die Ausstellung ist eine ordnungsgemäße Meldung bei der Kammer Voraussetzung.;https://www.slaek.de/de/arzt/arzt-und-recht/07-berufsrecht/unbedenklichkeitsbescheinigung.php | https://www.slaek.de/media/dokumente/arzt/arztundrecht/Infoblatt_good-standing.pdf | https://www.slaek.de/media/dokumente/arzt/arztundrecht/Antragsformular.pdf;True
Sachsen-Anhalt;ST;Arzt;arzt;Ärztekammer Sachsen-Anhalt;https://www.aeksa.de/;Landesverwaltungsamt, Landesprüfungsamt für Gesundheitsberufe;Die Zuständigkeit liegt beim Landesverwaltungsamt, nicht bei der Ärztekammer.;https://lvwa.sachsen-anhalt.de/das-lvwa/landespruefungsamt-fuer-gesundheitsberufe/certificate-of-good-standing;formloser Antrag per Post;formloser Antrag | Führungszeugnis Belegart „O“ | tabellarischer Lebenslauf mit Datum und Unterschrift | Approbationsurkunde | ggf. Promotionsurkunde | ggf. Heiratsurkunde | eigene schriftliche Erklärung;50 EUR;nicht angegeben;nicht angegeben;nicht angegeben;Landesverwaltungsamt, Landesprüfungsamt für Gesundheitsberufe, Referat 507, Ernst-Kamieth-Str. 2, 06112 Halle (Saale);Ja, zur Vorlage bei einer Behörde (nicht älter als drei Monate);Ärztekammer Sachsen-Anhalt;Die Zuständigkeit für die Ausstellung des Certificate of Good Standing liegt nicht bei der Ärztekammer, sondern beim Landesverwaltungsamt Sachsen-Anhalt, Landesprüfungsamt für Gesundheitsberufe.;https://www.aeksa.de/ | https://lvwa.sachsen-anhalt.de/das-lvwa/landespruefungsamt-fuer-gesundheitsberufe/certificate-of-good-standing | https://lvwa.sachsen-anhalt.de/fileadmin/Bibliothek/Politik_und_Verwaltung/LVWA/LVwA/Bilder/Fam_Ges_Jug_Vers/507/Merkblatt_ueber_die_Beantragung_eines_-Certificate_of_good_standing_01.pdf;True
Schleswig-Holstein;SH;Arzt;arzt;Ärztekammer Schleswig-Holstein;https://www.aeksh.de/;Ärztekammer Schleswig-Holstein;;nicht gefunden;nicht angegeben;;nicht angegeben;nicht angegeben;info@aeksh.de;04551 803 0;Ärztekammer Schleswig-Holstein, Bismarckallee 8–12, 23795 Bad Segeberg;nicht angegeben;Ärztekammer Schleswig-Holstein;"Informationen zum ""Certificate of Good Standing"" bzw. zur ""Unbedenklichkeitsbescheinigung"" waren auf der Website der Ärztekammer Schleswig-Holstein nicht direkt auffindbar. Die verwandte ""EU-Konformitätsbescheinigung"" wird von der Ärztekammer ausgestellt, ist kostenlos und hat eine Bearbeitungszeit von 2-3 Wochen. Es ist möglich, dass für das Certificate of Good Standing ähnliche Bedingungen gelten.";https://www.aeksh.de/ | https://zufish.schleswig-holstein.de/detail?areaId=&pstGroupId=&pstCatId=270357711&pstId=315863832&infotype=0 | https://www.aeksh.de/kontakt;False
Baden-Württemberg;BW;Zahnarzt;zahnarzt;Regierungspräsidium Stuttgart;https://rps.baden-wuerttemberg.de/;Regierungspräsidium Stuttgart;Zuständig ist das Regierungspräsidium Stuttgart, nicht die Landeszahnärztekammer.;https://rps.baden-wuerttemberg.de/fileadmin/RP-Internet/Stuttgart/Abteilung_9/Referat_95/_DocumentLibraries/Documents/LPA_Arzt_Apo_Zahn_Certificate.pdf;Der Antrag wird per E-Mail als PDF an landespruefungsamt@rps.bwl.de gesendet. Das Formular muss ausgefüllt und unterschrieben sein.;Amtlich beglaubigte Kopie der Approbationsurkunde (nicht älter als einen Monat) | bei Namensänderung eine beglaubigte Kopie der Urkunde über die Namensänderung.;nicht angegeben;2-3 Wochen;landespruefungsamt@rps.bwl.de;nicht angegeben;Regierungspräsidium Stuttgart, Referat 95 – Sachgebiet 1, Ruppmannstr. 21, 70565 Stuttgart;Die Anforderung eines Führungszeugnisses wird ausdrücklich vorbehalten, ist aber nicht initial erforderlich.;Regierungspräsidium Stuttgart;Zuständig ist das Regierungspräsidium Stuttgart, nicht die Landeszahnärztekammer. Das Zertifikat wird erst ausgestellt, wenn alle Unterlagen vollständig vorliegen. Eingangsbestätigungen werden nicht versandt.;https://rps.baden-wuerttemberg.de/fileadmin/RP-Internet/Stuttgart/Abteilung_9/Referat_95/_DocumentLibraries/Documents/LPA_Arzt_Apo_Zahn_Certificate.pdf | https://www.lzk-bw.de/;True
Bayern;BY;Zahnarzt;zahnarzt;Bayerische Landeszahnärztekammer;https://www.blzk.de/;Bayerische Landeszahnärztekammer;;nicht gefunden;nicht angegeben;;nicht angegeben;nicht angegeben;blzk@blzk.de;089 230211-0;Flößergasse 1, 81369 München;nicht angegeben;Bayerische Landeszahnärztekammer;keine;https://www.blzk.de/ | https://qm.blzk.de/blzk/public.nsf/id/pa_onlinehilfe.html?Open#kontakt;False
Berlin;BE;Zahnarzt;zahnarzt;Zahnärztekammer Berlin;https://www.zaek-berlin.de/;Landesamt für Gesundheit und Soziales (LAGeSo);Die Zuständigkeit scheint beim LAGeSo zu liegen, nicht bei der Zahnärztekammer.;nicht gefunden;Für die Erteilung einer Approbation für ausländische Zahnärzte ist ein Antrag beim Landesamt für Gesundheit und Soziales zu stellen. Ein spezifisches Antragsverfahren für ein Certificate of Good Standing von der Zahnärztekammer Berlin für im Ausland tätige Zahnärzte konnte nicht ermittelt werden.;Für die Approbation wird ein 'Leumundszeugnis/Unbedenklichkeitsbescheinigung (Certificate of good standing)' des Herkunftslandes verlangt. Welche Dokumente für die Ausstellung eines solchen Zertifikats durch die Zahnärztekammer Berlin erforderlich sind, ist nicht angegeben.;nicht angegeben;nicht angegeben;info@zaek-berlin.de;(030) 34 808 0;Stallstraße 1, 10585 Berlin;Für die Approbation ist ein Führungszeugnis der Belegart O erforderlich. Ob dies auch für die Ausstellung eines Certificate of Good Standing gilt, ist nicht angegeben.;Zahnärztekammer Berlin;Die Recherche ergab Informationen zur Beantragung der Approbation für ausländische Zahnärzte, bei der ein Certificate of Good Standing vom Herkunftsland vorgelegt werden muss. Es konnten keine Informationen darüber gefunden werden, wie ein Zahnarzt, der in Berlin gemeldet ist, ein Certificate of Good Standing für eine Tätigkeit im Ausland beantragen kann. Die Zuständigkeit scheint beim Landesamt für Gesundheit und Soziales zu liegen.;https://www.zaek-berlin.de/dateien/Content/Dokumente/Presse/Download-Texte/Newsletter/111_ds_akad_checkliste_approbation_be_03_2020_1_.pdf | https://www.zaek-berlin.de/kontakt-geschaeftszeiten.html;True
Brandenburg;BB;Zahnarzt;zahnarzt;Landeszahnärztekammer Brandenburg;https://www.die-brandenburger-zahnaerzte.de/;Landesamt für Arbeitsschutz, Verbraucherschutz und Gesundheit (LAVG);Die Zuständigkeit liegt beim LAVG, nicht bei der Landeszahnärztekammer.;https://lavg.brandenburg.de/lavg/de/gesundheit/akademische-heilberufe/unbedenklichkeitsbescheinigung-ausland/;Der Antrag wird schriftlich per Post an das Landesamt für Arbeitsschutz, Verbraucherschutz und Gesundheit (LAVG) gestellt. Das Antragsformular ist online verfügbar.;"Antragsformular | Personalausweis oder Reisepass (in beglaubigter Kopie) | Approbationsurkunde (in beglaubigter Kopie) | Ärztliche Bescheinigung über die gesundheitliche Eignung zur Ausübung des Berufs (nicht älter als drei Monate) | Erklärung darüber, ob ein gerichtliches Strafverfahren oder ein staatsanwaltschaftliches Ermittlungsverfahren anhängig ist | Führungszeugnis der Belegart ""O"" (nicht älter als drei Monate) | Bescheinigung der zuständigen Zahnärztekammer über die Mitgliedschaft.";95 EUR;nicht angegeben;G1-Berufsrecht@lavg.brandenburg.de;+49 331 8683-786;Landesamt für Arbeitsschutz, Verbraucherschutz und Gesundheit (LAVG), Abteilung Gesundheit, Postfach 60 11 62, 14411 Potsdam;Ja, muss direkt an das LAVG gesendet werden.;Landeszahnärztekammer Brandenburg;Die Zuständigkeit liegt nicht direkt bei der Landeszahnärztekammer, sondern beim Landesamt für Arbeitsschutz, Verbraucherschutz und Gesundheit (LAVG).;https://www.die-brandenburger-zahnaerzte.de/ | https://service.lzkb.de/ | https://lavg.brandenburg.de/lavg/de/gesundheit/akademische-heilberufe/unbedenklichkeitsbescheinigung-ausland/;True
Bremen;HB;Zahnarzt;zahnarzt;Zahnärztekammer Bremen;https://zaek-hb.de/;Senatorin für Gesundheit, Frauen und Verbraucherschutz;Zuständig ist die Senatorin für Gesundheit, nicht die Zahnärztekammer.;https://zaek-hb.de/certificate-of-good-standing;Der Antrag wird bei der Senatorin für Wissenschaft, Gesundheit und Verbraucherschutz gestellt.;;nicht angegeben;nicht angegeben;"heike.ver@gesundheit.bremen.de; bettina.arena@gesundheit.bremen.de";"0421 361-9554; 0421 361-54016";Freie Hansestadt Bremen, Die Senatorin für Gesundheit, Frauen und Verbraucherschutz, Referat 20 - Beruferecht, Faulenstraße 9/15, 28195 Bremen;nicht angegeben;Zahnärztekammer Bremen;Zuständig ist die Senatorin für Wissenschaft, Gesundheit und Verbraucherschutz, nicht die Zahnärztekammer direkt.;https://zaek-hb.de/certificate-of-good-standing;True
Hamburg;HH;Zahnarzt;zahnarzt;Zahnärztekammer Hamburg;https://www.zahnaerzte-hh.de/;Zahnärztekammer Hamburg;;nicht gefunden;nicht angegeben;;15,00 €;nicht angegeben;info@zaek-hh.de;(040) 73 34 05-0;Weidestraße 122 b, 22083 Hamburg;nicht angegeben;Zahnärztekammer Hamburg;keine;https://www.zahnaerzte-hh.de/ | https://www.zahnaerzte-hh.de/fileadmin/___AMTLICHE_bEKANNTMACHUNGEN/Gebuehrenverzeichnis_zur_Gebuehrenordnung_der_Zahnaerztekammer_Hamburg_-_06.05.2025.pdf;False
Hessen;HE;Zahnarzt;zahnarzt;Landeszahnärztekammer Hessen;https://www.lzkh.de/;Landeszahnärztekammer Hessen;;nicht gefunden;nicht angegeben;;nicht angegeben;nicht angegeben;box@lzkh.de;069 427275-0;Rhonestraße 4, 60528 Frankfurt am Main;nicht angegeben;Landeszahnärztekammer Hessen;"Auf der Website der Landeszahnärztekammer Hessen konnten keine Informationen zum ""Certificate of Good Standing"" oder zur ""Unbedenklichkeitsbescheinigung"" gefunden werden. Es wird empfohlen, die Kammer direkt zu kontaktieren.";https://www.lzkh.de/ | https://www.lzkh.de/service/kontakt;False
Mecklenburg-Vorpommern;MV;Zahnarzt;zahnarzt;Zahnärztekammer Mecklenburg-Vorpommern;https://zaekmv.de/;Zahnärztekammer Mecklenburg-Vorpommern;;nicht gefunden;nicht angegeben;;nicht angegeben;nicht angegeben;info@zaekmv.de;0385 489306-80;Wismarsche Str. 304, 19055 Schwerin;nicht angegeben;Zahnärztekammer Mecklenburg-Vorpommern;keine;https://zaekmv.de/ | https://zaekmv.de/kontakt;False
Niedersachsen;NI;Zahnarzt;zahnarzt;Zahnärztekammer Niedersachsen;https://zkn.de/;Zahnärztekammer Niedersachsen;;nicht gefunden;Informationen zum Antragsverfahren sind auf der Website nicht verfügbar. Es wird empfohlen, die Mitgliederverwaltung direkt zu kontaktieren.;;nicht angegeben;nicht angegeben;sneumann@zkn.de;0511 83391-143;"Zahnärztekammer Niedersachsen
Zeißstraße 11a
30519 Hannover";nicht angegeben;Zahnärztekammer Niedersachsen;keine;https://zkn.de/ | https://zkn.de/die-zkn/ansprechpartner/;True
